n,N,N_label,standard_paper_grid,seed,scaled_budget,Delta_N_u_total,Delta_N_u_mean_term,Delta_N_u_cov_term,self_consistency_kl_u
100,460,N=n log(n),1,21,0.0380165289256198,6.575768814878207,2.354287928109952,4.221480886768255,-0.0642676682836995
100,460,N=n log(n),1,22,0.0380165289256198,10.324622492705908,3.8762220024227543,6.448400490283153,0.0485020996860194
100,460,N=n log(n),1,23,0.0380165289256198,6.149765678828904,1.0596859898899018,5.090079688939002,0.0335146749664612
100,460,N=n log(n),1,24,0.0380165289256198,4.281658468101547,1.0605624436208083,3.2210960244807385,-0.0118621798745436
100,460,N=n log(n),1,25,0.0380165289256198,4.177205398415538,0.6917598642085645,3.4854455342069737,-0.0039371702856774
100,460,N=n log(n),1,26,0.0380165289256198,5.50925412264341,1.8436288137449537,3.6656253088984574,0.0051389006797207
100,460,N=n log(n),1,27,0.0380165289256198,6.154597747911828,1.565701104374824,4.588896643537004,-0.0212314765826943
100,460,N=n log(n),1,28,0.0380165289256198,6.467163921620778,2.360182672179377,4.106981249441401,0.0712201591757196
100,460,N=n log(n),1,29,0.0380165289256198,6.620691924012863,2.5410113270206347,4.079680596992229,-0.0474839095654416
100,460,N=n log(n),1,30,0.0380165289256198,4.755943000861441,1.2238137524322226,3.532129248429218,-0.0023743179409476
100,460,N=n log(n),1,31,0.0380165289256198,6.945015207369131,2.989336144918929,3.9556790624502023,-0.1007540752070498
100,460,N=n log(n),1,32,0.0380165289256198,4.570841697449628,0.7327341950290349,3.838107502420593,0.0334576920511882
100,460,N=n log(n),1,33,0.0380165289256198,3.224739446989685,0.7491893203552256,2.475550126634459,0.0287490451637922
100,460,N=n log(n),1,34,0.0380165289256198,7.108973366614093,1.7248206989726955,5.384152667641397,-0.0329625162035337
100,460,N=n log(n),1,35,0.0380165289256198,5.013331112141821,0.6555978630099114,4.357733249131909,0.0051876638147288
100,460,N=n log(n),1,36,0.0380165289256198,3.0685983737069025,0.8162724043019219,2.2523259694049806,0.0477169656711859
100,460,N=n log(n),1,37,0.0380165289256198,8.87725407581663,3.089730721573002,5.7875233542436275,-0.0375597069647251
100,460,N=n log(n),1,38,0.0380165289256198,5.48693700946446,1.1885810114209514,4.298355998043508,0.0062162263064791
100,460,N=n log(n),1,39,0.0380165289256198,8.70436281563634,2.5221196230422662,6.182243192594074,-0.0523590626975157
100,460,N=n log(n),1,40,0.0380165289256198,6.54630340804875,1.5301698595228952,5.016133548525855,0.0051000717126812
100,460,N=n log(n),1,41,0.0380165289256198,5.053286746261251,1.189493149079724,3.8637935971815263,-0.0457587656338627
100,460,N=n log(n),1,42,0.0380165289256198,5.517621747649149,1.3652514814011658,4.152370266247983,0.0204627413997793
100,460,N=n log(n),1,43,0.0380165289256198,10.11185816618994,2.9191517203350363,7.192706445854903,0.051159087433294
100,460,N=n log(n),1,44,0.0380165289256198,5.861967981267123,1.422463910409983,4.439504070857139,-0.0352198897944828
100,460,N=n log(n),1,45,0.0380165289256198,8.585652039024493,3.420289411601072,5.165362627423422,0.0173961073204296
100,460,N=n log(n),1,46,0.0380165289256198,6.281936675517571,2.285990562497678,3.995946113019892,0.0690436034329298
100,460,N=n log(n),1,47,0.0380165289256198,5.751352731031803,1.684748813872079,4.066603917159724,-0.0095812864247173
100,460,N=n log(n),1,48,0.0380165289256198,3.9755310288569694,1.581194563468893,2.3943364653880765,-0.1110566237326408
100,460,N=n log(n),1,49,0.0380165289256198,6.442633354766295,2.8237430709672107,3.618890283799084,0.036410052883233
100,460,N=n log(n),1,50,0.0380165289256198,9.436480009200372,2.850133861838768,6.586346147361606,-0.0009783995738658
100,460,N=n log(n),1,51,0.0380165289256198,3.9764898687477586,0.902429604617367,3.0740602641303916,0.0600338246009791
100,460,N=n log(n),1,52,0.0380165289256198,9.397580749523447,2.4562456887690782,6.941335060754369,0.0241031979883159
100,460,N=n log(n),1,53,0.0380165289256198,5.520174979408519,1.131459866705625,4.388715112702894,-0.0012588260452368
100,460,N=n log(n),1,54,0.0380165289256198,6.009030198843849,2.0294413273366914,3.9795888715071577,-0.0111194564001677
100,460,N=n log(n),1,55,0.0380165289256198,6.083045284959952,1.197341908469002,4.88570337649095,-0.0336280316212141
