method,t1,t2
flow-NPE,0.6026051044464111,0.1528540849685669
flow-NPE,0.5767624378204346,0.12190711498260498
flow-NPE,0.6375243663787842,0.15408575534820557
flow-NPE,0.6413114070892334,0.261959433555603
flow-NPE,0.6002600193023682,0.10698151588439941
flow-NPE,0.5988723039627075,0.14749324321746826
flow-NPE,0.6603628396987915,0.14163076877593994
flow-NPE,0.6112275123596191,0.04781758785247803
flow-NPE,0.5568724870681763,0.11370360851287842
flow-NPE,0.5760680437088013,0.06991565227508545
flow-NPE,0.6586215496063232,0.17797935009002686
flow-NPE,0.6732121706008911,0.053310513496398926
flow-NPE,0.6421765089035034,-0.002448141574859619
flow-NPE,0.7064158916473389,0.07182979583740234
flow-NPE,0.6571719646453857,0.0687035322189331
flow-NPE,0.5648236274719238,0.09836864471435547
flow-NPE,0.6810054779052734,0.0959470272064209
flow-NPE,0.6053429841995239,0.1403796672821045
flow-NPE,0.5758243799209595,0.09202694892883301
flow-NPE,0.5435453653335571,0.11345386505126953
flow-NPE,0.6051716804504395,0.2113170623779297
flow-NPE,0.5930527448654175,0.11982011795043945
flow-NPE,0.6186337471008301,0.07092416286468506
flow-NPE,0.5505093336105347,0.08024168014526367
flow-NPE,0.5772347450256348,0.16973280906677246
flow-NPE,0.622590184211731,0.13894987106323242
flow-NPE,0.5816816091537476,0.11642324924468994
flow-NPE,0.6123937368392944,0.02709341049194336
flow-NPE,0.6047765016555786,0.16250479221343994
flow-NPE,0.6294113397598267,0.13090670108795166
flow-NPE,0.5909411907196045,0.19058966636657715
flow-NPE,0.5950583219528198,0.09752678871154785
flow-NPE,0.5815234184265137,0.06226813793182373
flow-NPE,0.5576950311660767,0.14402472972869873
flow-NPE,0.6223175525665283,0.15058636665344238
flow-NPE,0.5809308290481567,0.18789732456207275
flow-NPE,0.6203960180282593,0.1173330545425415
flow-NPE,0.5913410186767578,0.1253499984741211
flow-NPE,0.5865702629089355,0.11302316188812256
flow-NPE,0.6526585817337036,0.06281018257141113
flow-NPE,0.6046210527420044,0.12366485595703125
flow-NPE,0.6978240013122559,0.09128332138061523
flow-NPE,0.6335352659225464,0.13486945629119873
flow-NPE,0.621810793876648,0.03740262985229492
flow-NPE,0.6143600940704346,0.023554682731628418
flow-NPE,0.6224058866500854,0.03490340709686279
flow-NPE,0.6042085886001587,0.17550551891326904
flow-NPE,0.6002957820892334,0.06313276290893555
flow-NPE,0.5750467777252197,0.07744109630584717
flow-NPE,0.6793711185455322,0.13503611087799072
flow-NPE,0.5884662866592407,0.057763099670410156
flow-NPE,0.6180673837661743,0.10339486598968506
flow-NPE,0.6409862041473389,0.03750789165496826
flow-NPE,0.6374325752258301,0.1664261817932129
flow-NPE,0.5899755954742432,0.13181602954864502
flow-NPE,0.5440126657485962,0.0900411605834961
flow-NPE,0.7091681957244873,-0.036208152770996094
flow-NPE,0.604650616645813,0.07008218765258789
flow-NPE,0.526026725769043,0.1292126178741455
flow-NPE,0.6090247631072998,0.15395140647888184
flow-NPE,0.6070296764373779,0.17080998420715332
flow-NPE,0.592575192451477,0.10039448738098145
flow-NPE,0.6719263792037964,0.16212618350982666
flow-NPE,0.6035854816436768,0.10540688037872314
flow-NPE,0.6445322036743164,0.07910275459289551
flow-NPE,0.6614062786102295,0.10651886463165283
flow-NPE,0.5957870483398438,0.09177982807159424
